Score;item;Linear Regression;Random Forest;Fold;sexo;maturidade;acabamento;peso
63,9599;17;68,4239;63,968;1;F;4;4;166,6
64,5141;33;60,9043;64,3007;1;F;4;4;148,8
63,5997;23;60,1438;64,4989;1;F;4;3;147
63,8919;19;62,3049;64,2399;1;F;2;4;149,8
63,2907;32;62,2204;64,2399;1;F;2;4;149,6
64,097;34;64,867;63,6947;2;F;4;4;157,4
64,2399;25;62,95;63,8919;2;F;2;3;150
63,851;18;65,7983;64,214;2;F;2;3;156,6
63,968;20;70,4642;64,214;2;F;2;4;168
64,4916;30;60,7108;63,2907;2;F;2;4;145,4
64,3007;9;61,4735;64,5141;3;F;4;3;150,4
64,2841;31;62,8002;64,1489;3;F;3;4;152
63,8271;2;64,2121;62,8445;3;F;2;3;153,8
63,9664;20;68,2155;63,9599;3;F;2;4;163,2
63,9468;26;61,1457;63,5997;3;F;2;4;146,6
63,917;36;64,4791;62,8445;4;F;2;4;154,6
63,2564;6;71,6527;63,9629;4;F;4;4;171,8
63,349;38;63,2279;64,1489;4;F;4;4;151,6
64,214;40;64,9795;63,9664;4;F;2;4;155,8
64,4989;5;61,2259;64,4949;4;F;2;3;146,8
64,1489;24;62,323;64,2399;5;F;2;4;150,4
62,8445;37;63,8033;64,214;5;F;2;4;154
63,6947;12;65,0498;64,097;5;F;4;4;157,4
64,4949;22;58,2997;63,9468;5;F;2;3;141
