dia_da_semana,horario_entrada
5,07:38
5,07:40
1,07:52
4,07:43
4,07:34
5,07:53
2,07:42
3,07:33
2,07:35
1,07:52
3,07:27
1,07:42
5,07:44
2,07:37
3,07:25
4,07:32
5,07:40
4,07:44
5,07:46
2,07:45
1,07:43
4,07:43
4,07:38
3,07:39
1,07:40
1,07:49
5,07:52
2,07:34
2,07:45
2,07:38
3,07:36
3,07:36
4,07:33
3,07:26
4,07:42
1,07:35
2,07:29
3,07:31
3,07:35
1,07:52
5,07:50
4,07:38
3,07:36
5,07:54
1,07:39
2,07:45
3,07:27
5,07:55
4,07:31
1,07:46
4,07:33
3,07:33
5,07:48
4,07:30
5,07:48
4,07:34
5,07:51
3,07:31
4,07:35
5,07:51
2,07:42
3,07:35
2,07:32
2,07:30
1,07:47
2,07:40
5,07:53
2,07:45
4,07:33
2,07:29
3,07:34
2,07:45
5,07:35
5,07:35
1,07:53
1,07:52
4,07:36
5,07:49
5,07:44
3,07:35
1,07:40
4,07:45
3,07:40
2,07:32
1,07:35
1,07:45
4,07:37
5,07:52
1,07:53
4,07:26
1,07:47
3,07:39
4,07:31
2,07:42
3,07:26
3,07:37
2,07:39
1,07:35
2,07:45
1,07:49
