Score,ITEM,SEXO,ACABAMENTO,MATURIDADE,AOL,Width Ext Fat,Width Rib,PESO
64.3504,12,F,4,4,2.82711,0.182122,1.04375,157
64.8759,3,F,3,2,3.53682,0.230272,1.04375,138
71.9289,4,F,4,2,2.51497,0.255513,11.5128,129
64.6743,5,F,3,2,3.32744,0.200759,1.04375,146
63.7357,6,F,4,4,3.01345,0.182122,0.610455,171
64.4226,1,F,4,2,3.35101,0.292517,1.04375,153
71.3554,2,F,3,2,2.39303,0.194496,11.4967,153
64.0889,2,F,3,2,2.05806,0.182122,0.65157,153
64.2049,7,F,4,2,2.2395,0.182122,0.452883,144
64.4512,8,F,4,4,2.2395,0.00701245,1.04375,156
64.3507,9,F,3,4,2.73238,0.0765836,0.662671,150
64.2274,23,F,3,4,2.79035,0.182122,0.491628,147
64.512,24,F,4,2,2.2395,0.109689,1.04375,150
64.1589,25,F,3,2,2.23913,0.271282,0.724916,150
64.3399,26,F,4,2,2.85641,0.0400723,0.424901,146
63.9946,27,F,3,2,2.2395,0.182122,0.362458,150
63.9057,28,F,4,4,1.95027,0.191466,0.634999,159
63.9641,18,F,3,2,2.48249,0.0883526,0.371996,156
64.5789,19,F,4,2,3.0458,0.182122,1.04375,149
63.4369,20,F,4,2,2.37606,0.572725,0.683204,168
63.6848,10,F,4,2,3.15339,0.182122,0.58184,173
64.0787,17,F,4,4,3.32088,0.182122,0.877453,166
63.9539,29,F,4,2,2.59863,0.453248,0.697084,153
64.3433,30,F,4,2,2.42528,0.182122,0.66157,145
64.2841,31,F,4,3,2.72399,0.121427,0.697914,152
63.3807,32,F,4,2,2.35567,1.26076,0.674728,146
64.2115,33,F,4,4,2.28839,0.19873,0.624763,148
64.1509,34,F,4,4,3.2296,0.182122,0.666106,157
64.407,35,F,4,2,2.56496,0.0879795,0.607186,145
64.3491,36,F,4,2,2.2395,0.182122,1.04375,154
64.4699,37,F,4,2,3.16927,0.182122,1.04375,154
63.2107,38,F,4,4,2.2395,1.19076,0.538678,151
64.4263,39,F,3,6,2.2395,0.265856,1.04375,148
64.234,40,F,4,2,3.70262,0.0914917,0.505546,155
63.9714,21,F,4,2,3.13894,0.307661,0.803101,163
64.4949,22,F,3,2,2.45548,0.0477306,0.557994,141
