SEXO,MATURIDADE,ACABAMENTO,ITEM,PESO,ETIQUETA,FOTO,AOL,Width Rib,Width Ext Fat,Score
F,4,4,12,157,4,IMG_20250409_060309.jpg,"2,8271059902657",,,"63,8125237787345"
F,2,3,3,138,8,IMG_20250409_060334.jpg,"3,5368241789045",,"0,230272499400376","64,1796803412787"
F,2,4,4,129,6,IMG_20250409_060703.jpg,"2,5149718513524","11,512805348","0,255513211484364","71,9289465270119"
F,2,3,5,146,8,IMG_20250409_060745.jpg,"3,3274420661812",,"0,200758750186295","63,9781081146917"
F,4,4,6,171,8,IMG_20250409_060830.jpg,"3,0134517616335","0,610455296",,"63,8939224114444"
F,2,4,1,153,0,IMG_20250409_061808.jpg,"3,3510087405751",,"0,292517000815459","63,7264338625661"
F,2,3,2,153,8,IMG_20250409_061851.jpg,"2,3930283983353","11,4966889593415","0,194496187087128","71,3553680410856"
F,2,3,2,153,8,IMG_20250409_061851.jpg,"2,0580567929559","0,651569995257338",,"64,2471445699209"
F,2,4,7,144,8,IMG_20250409_062400.jpg,,"0,452883389757283",,"64,0720732209681"
F,4,4,8,156,6,IMG_20250409_062519.jpg,,,"0,0070124498883667","63,463906181047"
F,4,3,9,150,4,IMG_20250409_062621.jpg,"2,7323752512815","0,662670521731829","0,0765835603973213","64,3506589066765"
F,4,3,23,147,0,IMG_20250409_062818.jpg,"2,7903472815416","0,491628459510914",,"64,3856613290942"
F,2,4,24,150,4,IMG_20250409_062859.jpg,,,"0,109688766380997","63,5246804620149"
F,2,3,25,150,0,IMG_20250409_063011.jpg,"2,2391323797546","0,724915664","0,271281928765864","64,1588619611586"
F,2,4,26,146,6,IMG_20250409_063030.jpg,"2,8564068906373","0,424900559455582","0,0400723065703125","64,3399187345301"
F,2,3,27,150,6,IMG_20250409_063103.jpg,,"0,362457832",,"63,861759373944"
F,4,4,28,159,4,IMG_20250409_063122.jpg,"1,9502666029011","0,634998747195439","0,191465526019979","63,9056952806452"
F,2,3,18,156,6,IMG_20250409_063522.jpg,"2,4824889527504","0,371996196","0,0883525846497006","63,964066630529"
F,2,4,19,149,8,IMG_20250409_063544.jpg,"3,0458020769759",,,"64,0409542700069"
F,2,4,20,168,0,IMG_20250409_063612.jpg,"2,3760577411065","0,683203798398259","0,572725238546335","63,4368862075787"
F,2,4,10,173,4,IMG_20250409_063812.jpg,"3,1533933921413","0,581840204",,"63,8430285570464"
F,4,4,17,166,6,IMG_20250409_063910.jpg,"3,320879194831","0,877453282364545",,"64,2369756346652"
F,2,4,29,153,0,IMG_20250409_074541.jpg,"2,59863188816","0,697084149390426","0,453247976832147","63,9539047812371"
F,2,4,30,145,4,IMG_20250409_074718.jpg,"2,425279276233","0,661569964057633",,"64,5015534719367"
F,3,4,31,152,0,IMG_20250409_074809.jpg,"2,7239893601118","0,697914012449881","0,121427481283624","64,2841067818831"
F,2,4,32,146,6,IMG_20250409_074858.jpg,"2,355673064943","0,674727826410736","1,26076109197143","63,3806795697354"
F,4,4,33,148,8,IMG_20250409_075753.jpg,"2,288387060696","0,624762842","0,198730114147715","64,2115106643101"
F,4,4,34,157,4,IMG_20250409_075829.jpg,"3,2295956205964","0,666105852945763",,"64,3091400345924"
F,2,4,35,145,4,IMG_20250409_075925.jpg,"2,5649557402216","0,607186032908999","0,0879795451483115","64,4069831054452"
F,2,4,36,154,6,IMG_20250409_080014.jpg,,,,"63,52"
F,2,4,37,154,0,IMG_20250409_080211.jpg,"3,1692702374784",,,"63,9320051308722"
F,4,4,38,151,6,IMG_20250409_080248.jpg,,"0,538677715186503","1,19076078041372","62,9195269178499"
F,6,3,39,148,8,IMG_20250409_081127.jpg,,,"0,265856045606926","63,4389710963676"
F,2,4,40,155,8,IMG_20250409_081156.jpg,"3,7026195450343","0,505545798755752","0,0914917378784508","64,2340332684082"
F,2,4,21,163,2,IMG_20250409_081231.jpg,"3,1389418168449","0,803100977764921","0,307660780414984","63,9713735701784"
F,2,3,22,141,0,IMG_20250409_081252.jpg,"2,4554751136069","0,557994294","0,0477306492527301","64,4949160246663"
